idx,name
1,初级躯体感觉皮层
4,初级运动皮层
5,感觉联合皮层
6,布罗德曼分区 6
7,视觉运动整合皮层
8,布罗德曼分区 8
9,布罗德曼分区 9
10,布罗德曼分区 10
11,布罗德曼分区 11
13,脑岛
17,初级视觉皮层（V1）
18,二级视觉皮层（V2）
19,联合视觉皮层（V3，V4，V5）
20,布罗德曼分区 20
21,布罗德曼分区 21
22,布罗德曼分区 22
23,布罗德曼分区 23
24,布罗德曼分区 24
25,布罗德曼分区 25
30,布罗德曼分区 30
31,布罗德曼分区 31
32,布罗德曼分区 32
34,布罗德曼分区 34
36,海马旁回
37,梭状回
38,布罗德曼分区 38
39,布罗德曼分区 39
40,布罗德曼分区 40
41,初级听觉皮层
44,布罗德曼分区 44
45,布罗德曼分区 45
46,布罗德曼分区 46
47,布罗德曼分区 47
48,尾状核
49,壳核
50,丘脑
51,苍白球
52,伏隔核
53,杏仁核
54,海马
55,下丘脑
